1,Aubergine,0
2,Red Onion,0
3,Sweet Potato,0
4,Baby Plum Tomatoes,0
5,Garlic,0
6,Harissa Paste,1
7,Feta Cheese,0
8,Lemon,0
9,Coriander,0
10,Lentils,1
11,Flaked Almonds,0
12,Olive Oil,1
13,Ground Cumin,1
14,Water,1
15,Vegetable stock powder,1
16,Basmati Rice,1
17,Diced Chicken Breast,0
18,Cornflour,1
19,Echalion Shallot,0
20,Green Beans,0
21,Tomato Puree,1
22,Honey,1
23,Soy Sauce,1
