1,1,1,piece
2,1,1,piece
3,1,1,piece
4,1,1,piece
5,1,2,clove
6,1,50,gram
7,1,1,block
8,1,0.5,piece
9,1,1,bunch
10,1,1,carton
11,1,0.5,pot
12,1,1.5,tbsp
13,1,1,sachet
14,1,75,ml
15,1,1,sachet
5,2,1,clove
14,2,150,ml
16,2,150,gram
17,2,280,gram
18,2,10,gram
19,2,1,piece
20,2,1,pack
21,2,2,tbsp
22,2,1,tbsp
23,2,1,tbsp
